customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchase,payment_method,frequency_of_purchase
14,65,Male,Dress,Clothing,67,New Hampshire,M,Violet,Spring,4.7,TRUE,Express,TRUE,TRUE,31,PayPal,Weekly
15,64,Male,Coat,Outerwear,72,New York,L,Teal,Winter,4.7,TRUE,Free Shipping,TRUE,TRUE,34,Debit Card,Weekly
16,64,Male,Skirt,Clothing,35,Rhode Island,M,Teal,Winter,2.8,TRUE,Store Pickup,TRUE,TRUE,8,PayPal,Monthly
17,25,Male,Sunglasses,Accessories,64,Alabama,S,Gray,Spring,4.1,TRUE,Next Day Air,TRUE,TRUE,44,Debit Card,Bi-Weekly
18,53,Male,Dress,Clothing,107,Mississippi,XL,Lavender,Winter,4.7,TRUE,2-Day Shipping,TRUE,TRUE,36,Venmo,Quarterly
19,52,Male,Sweater,Clothing,34,Montana,S,Black,Summer,4.6,TRUE,Free Shipping,TRUE,TRUE,17,Cash,Weekly
20,66,Male,Pants,Clothing,28,Rhode Island,M,Green,Summer,3.3,TRUE,Standard,TRUE,TRUE,46,Debit Card,Bi-Weekly
21,21,Male,Pants,Clothing,77,Louisiana,M,Black,Winter,2.8,TRUE,Express,TRUE,TRUE,50,Cash,Every 3 Months
22,31,Male,Pants,Clothing,162,North Carolina,M,Charcoal,Winter,4.1,TRUE,Store Pickup,TRUE,TRUE,22,Debit Card,Quarterly
23,56,Male,Pants,Clothing,83,California,M,Peach,Summer,3.2,TRUE,Store Pickup,TRUE,TRUE,32,Debit Card,Annually
24,31,Male,Pants,Clothing,143,Oklahoma,XL,White,Winter,4.4,TRUE,Express,TRUE,TRUE,40,Credit Card,Weekly
25,18,Male,Jacket,Outerwear,96,Florida,M,Green,Fall,2.9,TRUE,Store Pickup,TRUE,TRUE,16,Debit Card,Weekly
26,18,Male,Hoodie,Clothing,170,Texas,M,Silver,Summer,3.6,TRUE,Express,TRUE,TRUE,14,PayPal,Annually
27,38,Male,Jewelry,Accessories,120,Nevada,M,Red,Spring,3.6,TRUE,Next Day Air,TRUE,TRUE,13,Credit Card,Annually
28,56,Male,Shorts,Clothing,61,Kentucky,L,Cyan,Summer,5,TRUE,Next Day Air,TRUE,TRUE,7,Bank Transfer,Every 3 Months
29,54,Male,Handbag,Accessories,77,North Carolina,M,Gray,Fall,4.4,TRUE,Free Shipping,TRUE,TRUE,41,PayPal,Every 3 Months
30,31,Male,Dress,Clothing,31,Wyoming,S,Black,Fall,4.1,TRUE,Store Pickup,TRUE,TRUE,14,Credit Card,Weekly
31,57,Male,Jewelry,Accessories,68,North Carolina,L,Black,Winter,4.7,TRUE,Standard,TRUE,TRUE,16,Credit Card,Monthly
32,33,Male,Dress,Clothing,100,West Virginia,L,Brown,Winter,4.7,TRUE,Store Pickup,TRUE,TRUE,45,Venmo,Monthly
33,36,Male,Jacket,Outerwear,134,Kansas,M,Silver,Summer,4.9,TRUE,Free Shipping,TRUE,TRUE,37,Venmo,Annually
34,54,Male,Pants,Clothing,40,Colorado,L,Green,Summer,3.3,TRUE,Store Pickup,TRUE,TRUE,45,Cash,Quarterly
35,36,Male,T-shirt,Clothing,54,North Dakota,L,Violet,Spring,4.6,TRUE,2-Day Shipping,TRUE,TRUE,38,PayPal,Quarterly
36,54,Male,Blouse,Clothing,41,Massachusetts,M,Cyan,Summer,4,TRUE,2-Day Shipping,TRUE,TRUE,48,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,167,Illinois,M,Maroon,Winter,4.6,TRUE,Free Shipping,TRUE,TRUE,44,PayPal,Fortnightly
38,35,Male,Jeans,Clothing,153,Indiana,S,Cyan,Summer,2.8,TRUE,Store Pickup,TRUE,TRUE,10,PayPal,Weekly
39,29,Male,Dress,Clothing,172,Florida,M,Red,Winter,3.7,TRUE,2-Day Shipping,TRUE,TRUE,44,Venmo,Every 3 Months
40,70,Male,Pants,Clothing,113,Arizona,S,Turquoise,Summer,4.2,TRUE,Express,TRUE,TRUE,18,Credit Card,Monthly
41,69,Male,Handbag,Accessories,150,Louisiana,L,Beige,Winter,4.6,TRUE,Next Day Air,TRUE,TRUE,31,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,133,Alaska,M,Orange,Spring,4.5,TRUE,Standard,TRUE,TRUE,40,Venmo,Annually
43,20,Male,Coat,Outerwear,131,Tennessee,M,Beige,Spring,4.1,TRUE,Free Shipping,TRUE,TRUE,15,PayPal,Annually
44,25,Male,Scarf,Accessories,46,Ohio,L,Lavender,Fall,3.7,TRUE,Store Pickup,TRUE,TRUE,19,PayPal,Fortnightly
45,39,Male,Hat,Accessories,39,Kentucky,S,Silver,Summer,4.6,TRUE,Free Shipping,TRUE,TRUE,45,PayPal,Weekly
46,50,Male,Socks,Clothing,39,Tennessee,XL,Indigo,Fall,2.9,TRUE,2-Day Shipping,TRUE,TRUE,25,PayPal,Annually
47,57,Male,Shirt,Clothing,35,California,L,White,Summer,2.9,TRUE,Store Pickup,TRUE,TRUE,45,Cash,Quarterly
48,55,Male,Jewelry,Accessories,51,Montana,M,Charcoal,Winter,4.5,TRUE,Free Shipping,TRUE,TRUE,36,Cash,Weekly
49,42,Male,Shirt,Clothing,87,Nevada,M,Orange,Summer,2.7,TRUE,Store Pickup,TRUE,TRUE,38,Cash,Monthly
50,68,Male,Hoodie,Clothing,92,New Jersey,S,Indigo,Spring,4.6,TRUE,Next Day Air,TRUE,TRUE,34,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,114,Maryland,M,Red,Spring,3.7,TRUE,Store Pickup,TRUE,TRUE,39,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,45,Vermont,XL,Gray,Winter,4.7,TRUE,2-Day Shipping,TRUE,TRUE,7,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,102,Alaska,M,Green,Summer,2.6,TRUE,Free Shipping,TRUE,TRUE,26,Credit Card,Weekly
54,29,Male,Skirt,Clothing,125,Mississippi,S,Peach,Winter,3.9,TRUE,Next Day Air,TRUE,TRUE,35,Credit Card,Weekly
55,47,Male,Coat,Outerwear,66,New Mexico,M,Brown,Summer,4.2,TRUE,Next Day Air,TRUE,TRUE,35,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,91,South Carolina,M,Lavender,Winter,3,TRUE,2-Day Shipping,TRUE,TRUE,49,Credit Card,Annually
57,41,Male,Backpack,Accessories,169,Mississippi,XL,Brown,Summer,4.7,TRUE,Store Pickup,TRUE,TRUE,46,Credit Card,Weekly
58,21,Male,Coat,Outerwear,150,West Virginia,M,White,Summer,4.4,TRUE,Store Pickup,TRUE,TRUE,17,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,90,Missouri,M,Charcoal,Summer,4.2,TRUE,Free Shipping,TRUE,TRUE,29,Venmo,Monthly
60,63,Male,Belt,Accessories,55,Louisiana,L,Yellow,Spring,4.6,TRUE,Standard,TRUE,TRUE,4,Debit Card,Weekly
61,50,Male,Sweater,Clothing,130,Idaho,L,Brown,Summer,4,TRUE,Express,TRUE,TRUE,17,Cash,Weekly
62,55,Male,Scarf,Accessories,87,Texas,M,Orange,Winter,4.7,TRUE,Store Pickup,TRUE,TRUE,21,Credit Card,Every 3 Months
63,30,Male,Sneakers,Footwear,29,Mississippi,S,Magenta,Spring,3.8,TRUE,Free Shipping,TRUE,TRUE,31,Credit Card,Fortnightly
64,33,Male,Sunglasses,Accessories,137,Arizona,L,Lavender,Winter,2.7,TRUE,2-Day Shipping,TRUE,TRUE,43,Credit Card,Weekly
65,65,Male,Boots,Footwear,108,Alabama,S,Green,Fall,4.8,TRUE,Standard,TRUE,TRUE,18,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,136,New Jersey,M,Purple,Spring,4.8,TRUE,2-Day Shipping,TRUE,TRUE,44,Venmo,Every 3 Months
67,31,Male,Blouse,Clothing,57,Pennsylvania,S,Magenta,Winter,4.7,TRUE,2-Day Shipping,TRUE,TRUE,3,Venmo,Every 3 Months
68,45,Male,Coat,Outerwear,115,Connecticut,L,Gray,Winter,4.4,TRUE,Store Pickup,TRUE,TRUE,49,Debit Card,Monthly
69,57,Male,Handbag,Accessories,39,Utah,L,Silver,Summer,3.9,TRUE,Next Day Air,TRUE,TRUE,21,Cash,Every 3 Months
70,48,Male,Belt,Accessories,87,Tennessee,S,Cyan,Summer,4.4,TRUE,Express,TRUE,TRUE,5,Cash,Weekly
71,22,Male,Belt,Accessories,162,Alabama,M,Magenta,Fall,4.2,TRUE,Express,TRUE,TRUE,32,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,130,Virginia,L,Gold,Summer,2.9,TRUE,Express,TRUE,TRUE,34,Bank Transfer,Annually
73,18,Male,Dress,Clothing,75,Georgia,M,Olive,Winter,2.9,TRUE,Store Pickup,TRUE,TRUE,21,Bank Transfer,Every 3 Months
74,48,Male,Pants,Clothing,161,Hawaii,M,Teal,Spring,2.7,TRUE,Free Shipping,TRUE,TRUE,43,Bank Transfer,Bi-Weekly
75,49,Male,Gloves,Accessories,121,Indiana,L,Violet,Spring,4.5,TRUE,Express,TRUE,TRUE,3,Cash,Monthly
76,64,Male,Scarf,Accessories,76,Utah,M,Blue,Summer,2.7,TRUE,Free Shipping,TRUE,TRUE,21,Credit Card,Annually
77,50,Male,Hat,Accessories,60,Delaware,S,Teal,Summer,4.2,TRUE,Free Shipping,TRUE,TRUE,32,Venmo,Monthly
78,22,Male,Dress,Clothing,96,Delaware,L,Gold,Summer,3.3,TRUE,Next Day Air,TRUE,TRUE,36,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,92,Nebraska,M,Maroon,Spring,4.7,TRUE,Free Shipping,TRUE,TRUE,50,Venmo,Fortnightly
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,TRUE,2-Day Shipping,TRUE,TRUE,43,Bank Transfer,Every 3 Months
81,19,Male,Sandals,Footwear,117,New York,XL,Blue,Summer,3.3,TRUE,Store Pickup,TRUE,TRUE,24,Credit Card,Every 3 Months
82,67,Male,Shoes,Footwear,165,Virginia,L,Maroon,Summer,2.6,TRUE,Express,TRUE,TRUE,36,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,88,Georgia,S,Olive,Spring,4,TRUE,2-Day Shipping,TRUE,TRUE,21,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,131,Texas,M,Turquoise,Summer,4.1,TRUE,Standard,TRUE,TRUE,34,Bank Transfer,Weekly
85,52,Male,Coat,Outerwear,50,Arizona,S,Peach,Spring,4.4,TRUE,Standard,TRUE,TRUE,42,Bank Transfer,Every 3 Months
86,53,Male,Sunglasses,Accessories,118,New Mexico,M,Charcoal,Winter,4.5,TRUE,Next Day Air,TRUE,TRUE,2,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,101,Nevada,L,Pink,Spring,3.7,TRUE,2-Day Shipping,TRUE,TRUE,47,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,TRUE,2-Day Shipping,TRUE,TRUE,44,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,86,Wyoming,M,Orange,Fall,3.5,TRUE,Free Shipping,TRUE,TRUE,35,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,58,California,XL,Pink,Fall,3.6,TRUE,Next Day Air,TRUE,TRUE,15,Cash,Quarterly
91,25,Male,Hat,Accessories,161,South Carolina,L,Violet,Summer,2.9,TRUE,Express,TRUE,TRUE,29,Credit Card,Monthly
92,44,Male,Scarf,Accessories,53,South Carolina,S,Green,Winter,4.6,TRUE,Standard,TRUE,TRUE,18,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,48,Texas,M,Olive,Winter,4.4,TRUE,2-Day Shipping,TRUE,TRUE,13,Venmo,Every 3 Months
94,37,Male,Sweater,Clothing,139,Florida,M,Purple,Fall,4.5,TRUE,Standard,TRUE,TRUE,46,Credit Card,Weekly
95,58,Male,Skirt,Clothing,87,Nevada,S,Silver,Spring,4.6,TRUE,Free Shipping,TRUE,TRUE,28,Credit Card,Weekly
96,37,Male,Sneakers,Footwear,94,Missouri,L,Pink,Fall,3.8,TRUE,Free Shipping,TRUE,TRUE,48,PayPal,Monthly
97,32,Male,Gloves,Accessories,79,Delaware,S,Gold,Spring,3.6,TRUE,Express,TRUE,TRUE,43,Venmo,Every 3 Months
98,21,Male,Shoes,Footwear,188,Virginia,M,Teal,Winter,4.8,TRUE,Store Pickup,TRUE,TRUE,37,Cash,Annually
99,20,Male,Jeans,Clothing,111,New York,XL,Teal,Spring,2.6,TRUE,Next Day Air,TRUE,TRUE,20,Bank Transfer,Annually
100,26,Male,Hoodie,Clothing,59,Missouri,XL,Indigo,Summer,3.7,TRUE,Express,TRUE,TRUE,33,Debit Card,Quarterly
101,62,Male,Sunglasses,Accessories,41,South Dakota,M,Maroon,Fall,2.7,TRUE,Express,TRUE,TRUE,31,Cash,Fortnightly
102,27,Male,Coat,Outerwear,129,North Dakota,XL,White,Spring,4.6,TRUE,Express,TRUE,TRUE,50,Credit Card,Bi-Weekly
103,51,Male,Socks,Clothing,161,Oklahoma,L,Violet,Winter,4.8,TRUE,Next Day Air,TRUE,TRUE,35,Credit Card,Quarterly
104,54,Male,Boots,Footwear,92,West Virginia,L,Red,Winter,4,TRUE,Next Day Air,TRUE,TRUE,22,Venmo,Bi-Weekly
105,55,Male,Sunglasses,Accessories,52,New Hampshire,L,Pink,Spring,4.4,TRUE,2-Day Shipping,TRUE,TRUE,1,PayPal,Monthly
106,69,Male,Backpack,Accessories,84,New York,M,Charcoal,Fall,3.6,TRUE,Next Day Air,TRUE,TRUE,4,Bank Transfer,Annually
107,64,Male,Jacket,Outerwear,91,Minnesota,L,White,Summer,3.7,TRUE,Standard,TRUE,TRUE,31,Credit Card,Monthly
108,28,Male,Sneakers,Footwear,44,Maryland,L,Olive,Winter,3.1,TRUE,Next Day Air,TRUE,TRUE,46,PayPal,Fortnightly
109,70,Male,Socks,Clothing,134,Montana,L,Purple,Spring,3.4,TRUE,Next Day Air,TRUE,TRUE,32,Bank Transfer,Bi-Weekly
110,58,Male,T-shirt,Clothing,100,Alabama,M,Violet,Spring,2.6,TRUE,Next Day Air,TRUE,TRUE,43,Bank Transfer,Fortnightly
111,56,Male,Backpack,Accessories,68,New York,M,Black,Summer,4,TRUE,Standard,TRUE,TRUE,26,Venmo,Fortnightly
112,26,Male,Belt,Accessories,153,Massachusetts,L,Purple,Summer,5,TRUE,Free Shipping,TRUE,TRUE,9,Credit Card,Annually
113,37,Male,Gloves,Accessories,68,Florida,M,Red,Spring,4.3,TRUE,Free Shipping,TRUE,TRUE,28,PayPal,Bi-Weekly
114,44,Male,Hat,Accessories,72,New Jersey,L,Maroon,Winter,3.1,TRUE,Next Day Air,TRUE,TRUE,20,PayPal,Quarterly
115,70,Male,Coat,Outerwear,151,Massachusetts,S,Blue,Summer,3.7,TRUE,Store Pickup,TRUE,TRUE,9,Cash,Weekly
116,53,Male,Skirt,Clothing,42,Wyoming,M,Gray,Spring,3.8,TRUE,Standard,TRUE,TRUE,48,Debit Card,Every 3 Months
117,55,Male,Shoes,Footwear,74,Virginia,S,Blue,Spring,3.4,TRUE,Free Shipping,TRUE,TRUE,12,Venmo,Annually
118,50,Male,Sandals,Footwear,106,South Dakota,L,Yellow,Summer,4.6,TRUE,Express,TRUE,TRUE,29,Cash,Fortnightly
119,50,Male,Sweater,Clothing,44,Kentucky,L,Orange,Fall,4.8,TRUE,2-Day Shipping,TRUE,TRUE,27,Cash,Bi-Weekly
120,38,Male,Coat,Outerwear,123,Wyoming,M,Orange,Fall,4.3,TRUE,Express,TRUE,TRUE,44,Cash,Annually
121,64,Male,Hat,Accessories,55,West Virginia,L,Red,Summer,4,TRUE,Express,TRUE,TRUE,32,Bank Transfer,Annually
122,19,Male,Shorts,Clothing,222,Virginia,M,Olive,Winter,4.2,TRUE,Standard,TRUE,TRUE,11,Cash,Fortnightly
123,40,Male,Backpack,Accessories,138,Washington,L,Brown,Spring,4.8,TRUE,2-Day Shipping,TRUE,TRUE,44,Cash,Fortnightly
124,57,Male,Sweater,Clothing,74,Louisiana,L,Brown,Fall,3.1,TRUE,Free Shipping,TRUE,TRUE,46,Cash,Weekly
125,44,Male,Sweater,Clothing,146,Nevada,M,Gray,Spring,3.1,TRUE,Next Day Air,TRUE,TRUE,50,PayPal,Annually
126,49,Male,Shorts,Clothing,51,California,M,Indigo,Winter,3.6,TRUE,Next Day Air,TRUE,TRUE,45,Venmo,Every 3 Months
127,43,Male,Shorts,Clothing,41,Mississippi,L,Pink,Spring,3.9,TRUE,Store Pickup,TRUE,TRUE,48,Cash,Every 3 Months
128,24,Male,Sweater,Clothing,117,Mississippi,M,Gray,Winter,4.8,TRUE,Next Day Air,TRUE,TRUE,26,Credit Card,Weekly
129,20,Male,Scarf,Accessories,192,California,M,Gold,Spring,4.7,TRUE,Standard,TRUE,TRUE,21,Credit Card,Fortnightly
130,24,Male,Dress,Clothing,171,Pennsylvania,XL,Olive,Summer,4.2,TRUE,2-Day Shipping,TRUE,TRUE,49,PayPal,Bi-Weekly
131,44,Male,Scarf,Accessories,70,Kentucky,L,Violet,Fall,3.7,TRUE,Next Day Air,TRUE,TRUE,13,PayPal,Fortnightly
132,28,Male,Skirt,Clothing,72,Maine,L,Indigo,Summer,3.9,TRUE,Standard,TRUE,TRUE,46,Credit Card,Weekly
133,30,Male,Backpack,Accessories,103,New Mexico,M,Orange,Fall,4.7,TRUE,2-Day Shipping,TRUE,TRUE,42,PayPal,Weekly
134,52,Male,Sweater,Clothing,80,Montana,M,Violet,Winter,2.5,TRUE,Next Day Air,TRUE,TRUE,25,Venmo,Annually
135,43,Male,Hat,Accessories,101,Texas,L,Gray,Fall,4.9,TRUE,Store Pickup,TRUE,TRUE,25,Cash,Monthly
136,43,Male,Sandals,Footwear,125,Kansas,M,Purple,Fall,4.1,TRUE,Express,TRUE,TRUE,12,PayPal,Quarterly
137,39,Male,Blouse,Clothing,144,South Carolina,M,White,Winter,3.3,TRUE,Free Shipping,TRUE,TRUE,4,Debit Card,Quarterly
138,68,Male,Sneakers,Footwear,107,Colorado,M,Turquoise,Spring,4.7,TRUE,Free Shipping,TRUE,TRUE,38,PayPal,Weekly
139,68,Male,Skirt,Clothing,84,Georgia,M,Maroon,Winter,4.4,TRUE,Store Pickup,TRUE,TRUE,42,Bank Transfer,Weekly
140,49,Male,Coat,Outerwear,166,Florida,M,White,Fall,3.8,TRUE,Store Pickup,TRUE,TRUE,30,Venmo,Annually
141,63,Male,Shirt,Clothing,46,North Carolina,L,Yellow,Fall,3.9,TRUE,2-Day Shipping,TRUE,TRUE,50,Credit Card,Weekly
142,56,Male,Gloves,Accessories,32,Virginia,M,Turquoise,Fall,4.9,TRUE,Free Shipping,TRUE,TRUE,45,PayPal,Weekly
143,37,Male,Jacket,Outerwear,55,Nebraska,L,Violet,Fall,3.1,TRUE,Free Shipping,TRUE,TRUE,33,Credit Card,Fortnightly
144,30,Male,Coat,Outerwear,163,Missouri,M,Beige,Fall,2.7,TRUE,Store Pickup,TRUE,TRUE,25,PayPal,Quarterly
145,19,Male,Shoes,Footwear,101,New Jersey,M,Silver,Fall,3.2,TRUE,Express,TRUE,TRUE,25,Cash,Monthly
146,24,Male,Jewelry,Accessories,175,Missouri,M,Teal,Fall,4.5,TRUE,Standard,TRUE,TRUE,44,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,163,Colorado,S,Black,Fall,4,TRUE,Standard,TRUE,TRUE,21,Venmo,Fortnightly
148,63,Male,Shoes,Footwear,57,Idaho,M,Purple,Summer,3.5,TRUE,2-Day Shipping,TRUE,TRUE,31,Bank Transfer,Fortnightly
149,37,Male,Gloves,Accessories,34,Wyoming,M,Gray,Fall,2.6,TRUE,Store Pickup,TRUE,TRUE,47,Debit Card,Annually
150,38,Male,Pants,Clothing,129,Delaware,M,White,Summer,3.2,TRUE,Free Shipping,TRUE,TRUE,14,PayPal,Monthly
151,35,Male,Boots,Footwear,76,California,L,Cyan,Fall,4.9,TRUE,Standard,TRUE,TRUE,17,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,114,North Dakota,L,Turquoise,Fall,4.5,TRUE,Next Day Air,TRUE,TRUE,3,Venmo,Annually
153,30,Male,Shirt,Clothing,40,South Carolina,S,Brown,Summer,4.3,TRUE,Express,TRUE,TRUE,42,Venmo,Annually
154,69,Male,Hoodie,Clothing,61,North Carolina,M,Maroon,Winter,3.2,TRUE,Standard,TRUE,TRUE,22,Debit Card,Annually
155,41,Male,Dress,Clothing,25,Oklahoma,M,Charcoal,Fall,3.6,TRUE,Next Day Air,TRUE,TRUE,21,Venmo,Quarterly
156,63,Male,Socks,Clothing,55,Maine,S,Olive,Spring,4.3,TRUE,Free Shipping,TRUE,TRUE,21,Bank Transfer,Quarterly
157,35,Male,Shorts,Clothing,119,Missouri,M,Lavender,Fall,4,TRUE,Standard,TRUE,TRUE,40,Debit Card,Annually
158,36,Male,Hat,Accessories,52,Vermont,S,Yellow,Fall,3,TRUE,Next Day Air,TRUE,TRUE,1,Bank Transfer,Fortnightly
159,25,Male,Shirt,Clothing,109,Connecticut,XL,Teal,Fall,4.1,TRUE,Standard,TRUE,TRUE,50,Bank Transfer,Monthly
160,58,Male,Gloves,Accessories,40,New Hampshire,M,Charcoal,Fall,3.8,TRUE,Store Pickup,TRUE,TRUE,39,Bank Transfer,Every 3 Months
161,27,Male,Gloves,Accessories,83,Texas,M,Orange,Summer,4.6,TRUE,Free Shipping,TRUE,TRUE,34,Venmo,Monthly
162,65,Male,Backpack,Accessories,111,North Dakota,M,Olive,Fall,3,TRUE,Express,TRUE,TRUE,29,Venmo,Fortnightly
163,54,Male,Sunglasses,Accessories,137,California,M,Turquoise,Summer,3,TRUE,Store Pickup,TRUE,TRUE,31,PayPal,Bi-Weekly
164,54,Male,Skirt,Clothing,31,Virginia,M,Purple,Summer,3.4,TRUE,Standard,TRUE,TRUE,8,Debit Card,Weekly
165,59,Male,Handbag,Accessories,67,Delaware,S,Purple,Spring,2.6,TRUE,Free Shipping,TRUE,TRUE,5,Credit Card,Fortnightly
166,42,Male,Handbag,Accessories,65,Kentucky,S,Yellow,Winter,2.8,TRUE,Store Pickup,TRUE,TRUE,7,Cash,Monthly
167,46,Male,Sneakers,Footwear,41,Delaware,XL,Indigo,Fall,4,TRUE,Store Pickup,TRUE,TRUE,30,Cash,Monthly
168,33,Male,Gloves,Accessories,52,Arkansas,M,Green,Fall,4,TRUE,Express,TRUE,TRUE,14,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,128,Louisiana,M,Magenta,Summer,3,TRUE,Express,TRUE,TRUE,5,Cash,Fortnightly
170,27,Male,Jacket,Outerwear,149,Nevada,S,Gold,Summer,3.3,TRUE,Standard,TRUE,TRUE,3,PayPal,Every 3 Months
171,52,Male,Shirt,Clothing,161,Wyoming,M,Maroon,Fall,2.6,TRUE,Store Pickup,TRUE,TRUE,46,Venmo,Bi-Weekly
172,29,Male,Shorts,Clothing,124,Virginia,M,Blue,Summer,3.6,TRUE,Store Pickup,TRUE,TRUE,4,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,173,Nebraska,M,Violet,Summer,3.9,TRUE,Next Day Air,TRUE,TRUE,42,Credit Card,Bi-Weekly
174,25,Male,Hat,Accessories,75,Hawaii,M,Turquoise,Fall,3.4,TRUE,Standard,TRUE,TRUE,30,Cash,Annually
175,41,Male,Shoes,Footwear,32,Vermont,L,Brown,Winter,3.5,TRUE,Express,TRUE,TRUE,37,Venmo,Annually
176,53,Male,Coat,Outerwear,117,Oklahoma,L,Violet,Fall,2.8,TRUE,Next Day Air,TRUE,TRUE,2,Bank Transfer,Annually
177,53,Male,Backpack,Accessories,30,New Hampshire,L,Black,Spring,2.7,TRUE,Next Day Air,TRUE,TRUE,30,Credit Card,Quarterly
178,21,Male,Hoodie,Clothing,174,Kansas,L,Magenta,Fall,3.7,TRUE,Next Day Air,TRUE,TRUE,47,Bank Transfer,Monthly
179,61,Male,Skirt,Clothing,44,Idaho,L,Lavender,Fall,4.3,TRUE,2-Day Shipping,TRUE,TRUE,21,PayPal,Quarterly
180,64,Male,Boots,Footwear,63,Illinois,M,Violet,Fall,4.9,TRUE,Store Pickup,TRUE,TRUE,9,Bank Transfer,Fortnightly
181,51,Male,Sandals,Footwear,129,South Dakota,L,Green,Fall,3.3,TRUE,Store Pickup,TRUE,TRUE,12,Debit Card,Fortnightly
182,32,Male,Pants,Clothing,66,Massachusetts,M,Beige,Summer,4.7,TRUE,Next Day Air,TRUE,TRUE,4,Bank Transfer,Weekly
183,38,Male,Gloves,Accessories,133,Alabama,XL,Purple,Summer,2.8,TRUE,Store Pickup,TRUE,TRUE,10,Debit Card,Annually
184,58,Male,Skirt,Clothing,96,Ohio,XL,Beige,Spring,3.6,TRUE,2-Day Shipping,TRUE,TRUE,26,Credit Card,Weekly
185,32,Male,Sneakers,Footwear,62,Hawaii,L,Cyan,Spring,3,TRUE,Express,TRUE,TRUE,40,Cash,Fortnightly
186,46,Male,T-shirt,Clothing,57,Wisconsin,XL,Silver,Summer,4.5,TRUE,Store Pickup,TRUE,TRUE,34,Bank Transfer,Fortnightly
187,39,Male,Backpack,Accessories,111,Minnesota,S,Lavender,Summer,2.9,TRUE,Standard,TRUE,TRUE,31,Debit Card,Annually
188,19,Male,Shoes,Footwear,219,Georgia,S,Purple,Spring,3.3,TRUE,Store Pickup,TRUE,TRUE,1,Bank Transfer,Bi-Weekly
